"id","name","timestamp","day_of_call","hour_of_day","wait_time","issue_categories","resolution_status"
"ccb5a988-c7e1-4082-b5f1-ad852607c0ec","Regina Odom","2026-01-31 07:18:22.684364","Saturday",7,2,"Technical",1
"2537135a-942b-4c36-87bc-aab42a00a82d","Victoria Ramsey","2026-01-20 22:36:00.769367","Tuesday",22,3,"Technical",0
"52b069e5-b008-4ded-9c31-1f812a2056c9","Kaylee Ball MD","2026-02-08 09:31:30.733231","Sunday",9,22,"Billing",0
"1adbf1c8-ceb2-489f-b57b-c5325c38b7a3","Jeffrey Nelson","2026-01-14 20:54:43.339861","Wednesday",20,3,"Account",0
"36d89b54-40b5-4710-b7aa-532d2eb9f920","Lisa Hunter","2026-03-15 15:50:58.886113","Sunday",15,37,"Account",1
"8f288001-c5ce-4b89-ab9d-cb5970f3d504","Samuel Sanchez","2026-04-28 17:24:47.474370","Tuesday",17,2,"Account",1
"1a2d1e07-227c-4ce7-8403-5fca2377ecae","John Lyons","2026-01-01 01:08:35.136626","Thursday",1,4,"Account",0
"bc9c719e-f524-4c08-9330-ba575712ce55","Robert Hooper","2026-04-26 00:16:21.708130","Sunday",0,3,"Service",0
"c7f91cf8-2a9c-4acc-b671-98ab6974af61","Ann Berry","2026-01-13 08:10:39.165462","Tuesday",8,8,"Billing",1
"618f024f-1fb3-400f-860e-1cca51fbd5b3","Brianna Kelly","2026-02-27 11:18:38.680866","Friday",11,25,"Service",1
"c0b8d62d-55ca-4a31-af90-1f7d21883fe0","Miguel Wood","2026-02-14 16:43:09.197090","Saturday",16,31,"Service",0
"182a4b51-5108-4c43-8593-567e79af914f","Edward Taylor","2026-03-21 21:01:20.249037","Saturday",21,8,"Billing",1
"875ae398-67d1-48bc-8b35-7b3cf50e8c32","Lisa Wilson","2026-01-12 08:42:05.775242","Monday",8,14,"Technical",1
"9e53d3b9-b4e0-4328-b484-a2449ff9af7e","John Martinez","2026-04-18 17:12:22.231460","Saturday",17,8,"Account",0
"76f54e92-4218-4b89-9ba0-01808e7ec925","Laura Smith","2026-01-10 23:09:58.415402","Saturday",23,2,"Technical",0
"a2765fa9-a40b-47d2-ab1b-21698ef3de56","Chris Garcia","2026-04-10 08:42:54.752489","Friday",8,21,"Billing",0
"0da22ad9-f149-4764-ab1d-4ec68551d10a","Rebecca Mitchell","2026-03-11 22:49:10.866386","Wednesday",22,5,"Account",1
"e96525f4-1fa3-4db3-bf2c-16a264b7b602","Bradley Morris","2026-02-23 17:47:39.539676","Monday",17,19,"Service",0
"5196b225-e6e4-4b65-87bb-39a94ad5c361","Michael Miller","2026-02-05 14:25:36.334666","Thursday",14,44,"Account",1
"960b0257-5496-4ac7-9111-0284a36f054a","Heidi Watson","2026-04-08 07:15:02.521567","Wednesday",7,14,"Service",1
"759416a6-8745-4c60-a964-17d45461190f","Bobby Ortiz","2026-01-22 23:30:42.862995","Thursday",23,2,"Service",0
"4cbcaee1-4dd7-4392-b456-9ba09edb5c97","Craig Hart","2026-02-27 14:32:23.724116","Friday",14,46,"Billing",0
"968968f9-2695-4d37-b631-da900b151805","Brian Wagner","2026-03-11 11:58:38.060495","Wednesday",11,45,"Service",1
"9f2f186a-fc61-4c57-999b-c8ca4cb611af","Gregory Colon","2026-04-08 22:56:10.676251","Wednesday",22,2,"Account",0
"02c8680f-6d3e-4532-bfa7-89a033b41ac9","Andrew Holden","2026-02-01 14:32:15.622610","Sunday",14,10,"Account",0
"d8b3d252-14e2-4d43-a1de-ef970de73c99","Amy Garcia","2026-02-12 09:53:49.599653","Thursday",9,21,"Technical",1
"0117def1-9806-4d63-90fc-303830acab75","Chris Cox","2026-04-23 16:59:34.868876","Thursday",16,20,"Billing",1
"2a6be797-5402-4d90-a547-7fae78d3c1f6","Wendy Taylor","2026-01-06 04:35:58.792510","Tuesday",4,3,"Billing",0
"28c67813-f100-4943-889b-68e9dbd3e49d","Robert Ramsey","2026-02-03 22:43:03.005756","Tuesday",22,11,"Account",0
"3afc9a67-7189-467c-9df1-1c0b476a8bb8","Michael Bowman","2026-04-19 02:54:33.558930","Sunday",2,8,"Service",0
"f9f810d7-5b1a-4ce5-af75-8de27704c81c","Tyrone Lloyd","2026-01-15 21:35:31.219099","Thursday",21,7,"Service",0
"58ffc2e0-6498-411b-a834-d25f7b081d32","Dr. Kimberly Pennington","2026-04-04 20:19:06.099130","Saturday",20,13,"Account",1
"6243a41d-1548-4dd1-a970-ee6e94880e45","Tiffany Young","2026-04-23 09:23:44.823346","Thursday",9,36,"Service",1
"caf67a61-e939-4ef2-a134-cb640cc71044","Kristen Oconnor","2026-04-21 07:17:17.781887","Tuesday",7,2,"Service",0
"9b7e8cf8-9713-495b-b947-24e947a1bcc2","Jessica Cruz","2026-03-18 06:29:03.805042","Wednesday",6,13,"Technical",1
"afcee6cf-3896-420c-b6d7-b066eccb8b47","Joshua Giles","2026-01-17 04:25:22.859633","Saturday",4,15,"Technical",1
"41e492d0-1b6f-4864-afde-050746cfce24","Ryan Hall","2026-01-16 21:04:54.583510","Friday",21,27,"Account",1
"396c29b8-8ee6-4790-856d-8b5ebc6c9777","Lydia Johnson","2026-05-12 08:04:21.055645","Tuesday",8,5,"Service",1
"2daf5c68-8e52-4c8b-bbba-0784710c3c13","James Hansen","2026-04-18 13:14:42.196151","Saturday",13,23,"Service",0
"98aa70c1-94c8-462c-a2e1-5d04c894091d","Seth Collins","2026-05-06 08:25:56.740486","Wednesday",8,7,"Technical",0
"c5d5572e-a219-4405-bb66-b4d9ff8fce69","Richard Stanton","2026-01-27 14:30:06.661569","Tuesday",14,28,"Billing",1
"affcf87b-d209-452f-912d-b907bbc029c7","Megan Gaines","2026-03-30 07:03:04.895741","Monday",7,17,"Billing",0
"5f80f7a9-bb4f-4924-b021-45a03035709e","Kimberly Hernandez","2026-04-10 04:00:43.093845","Friday",4,23,"Service",1
"d3877d37-b0ef-475f-8136-778f38d4af13","Billy Logan","2026-01-05 12:59:22.907932","Monday",12,21,"Service",1
"4ce9802e-9670-42b2-83bf-970db38bc438","Michael Gomez","2026-03-16 00:13:01.288533","Monday",0,22,"Service",0
"0df5395f-71bc-4aae-9ebd-1b86fbbae291","Wendy Glass","2026-01-27 04:53:30.678195","Tuesday",4,13,"Technical",0
"7dc2be18-6d93-45aa-a3f8-da9d445257e9","Christopher Park","2026-02-08 20:59:23.067995","Sunday",20,5,"Billing",0
"989d3981-1515-4725-863c-7e1cf74509b3","Nancy Salazar","2026-03-25 09:24:24.212861","Wednesday",9,10,"Service",1
"4227a96f-2664-43bc-ae83-d36509c83837","Emily Bowman","2026-02-07 12:58:48.509155","Saturday",12,43,"Account",0
"4aadfd88-7396-4aa9-9c98-3631b7144851","Michael Palmer","2026-03-20 04:10:11.901119","Friday",4,18,"Service",1
"90bec78a-a023-47c2-967c-034321694261","Lauren Stephens","2026-05-05 00:07:10.737248","Tuesday",0,2,"Technical",1
"ac98f231-0f83-45d7-9b0d-d26df5165dc5","Michael Schneider","2026-04-08 16:15:53.739291","Wednesday",16,20,"Billing",0
"d7353d0e-16a5-4c75-8b18-c46e5708e73e","Kaitlyn Lynch","2026-05-06 16:11:06.624577","Wednesday",16,14,"Technical",1
"f4833e73-9763-4117-9faa-423ccd069047","Angela Thompson","2026-02-04 17:09:29.878576","Wednesday",17,6,"Billing",1
"dc73b87c-a7a2-4785-98a1-d1bd10649859","Joan Allen","2026-02-20 06:43:59.096321","Friday",6,13,"Technical",1
"433586cf-ad09-40b6-97e2-1a0cbdd142f2","Lauren Flores","2026-01-22 15:53:22.704911","Thursday",15,22,"Billing",1
"5831972d-eb5c-488d-90c3-e0995051ede0","Emily Contreras","2026-01-01 22:17:39.124675","Thursday",22,8,"Billing",0
"7c513530-ba83-4159-8ce3-068c4b6e2a94","Rachel Williams","2026-04-24 02:00:24.608718","Friday",2,16,"Account",1
"4af6dda3-30b8-4b7d-9616-f5be7ec4e74b","Michael Morgan","2026-04-19 20:27:58.889762","Sunday",20,4,"Billing",1
"6cb0920d-f735-4867-a5a8-59091e895bf7","Christy Kelley","2026-04-13 15:45:06.664564","Monday",15,52,"Service",1
"d590dddc-a174-44dc-8360-928d499a5829","Natalie Lee","2026-04-23 13:05:39.718459","Thursday",13,13,"Billing",0
"08f471dc-4113-4d07-a317-dc80fdfa3789","Brian Gamble","2026-01-17 05:08:35.113217","Saturday",5,3,"Billing",0
"1fc7c66b-5855-4ca4-b536-fb5d019df12d","John Ortiz","2026-05-03 03:42:30.625895","Sunday",3,9,"Technical",0
"6c752b30-a242-4ed1-938c-1050376cd854","Jennifer Evans","2026-04-10 01:55:05.734850","Friday",1,14,"Service",0
"1c60348d-46b7-4515-9aba-a0f6ac7ea2d8","Cassandra Adams","2026-05-09 05:36:29.935944","Saturday",5,12,"Service",1
"8ef8a2bb-dee6-4191-8ec3-4f09e178196b","Scott Sweeney","2026-01-25 16:23:28.803191","Sunday",16,33,"Service",1
"447537df-e113-4aa1-aa45-b3d7dd0fa887","Robert Hall DVM","2026-01-25 22:05:21.322097","Sunday",22,6,"Service",1
"595294c5-20ba-4321-87d3-402c2a7d749d","Jennifer Roberts","2026-04-29 04:37:22.300102","Wednesday",4,14,"Technical",1
"176e065c-2c3d-4441-83dc-3cf0b0313c5b","Lindsey Orr","2026-01-03 01:55:19.876486","Saturday",1,15,"Service",1
"78f9eb12-56ed-449b-94bf-ff0d4b2b04fe","Allison Duncan","2026-01-27 21:56:02.073914","Tuesday",21,9,"Billing",0
"3a8b4c3c-02dd-433d-ac4a-0d60332d8fe0","Jason Diaz","2026-05-11 14:22:46.013714","Monday",14,29,"Technical",0
"d8a1b7ca-b1c6-41bf-9ce3-7313d6da3c75","Justin Gould","2026-03-31 10:50:52.983148","Tuesday",10,16,"Service",0
"6d14add1-482e-4d71-8c34-1b1d0fbc19d7","Lori Perez","2026-04-19 16:41:29.593829","Sunday",16,15,"Technical",1
"5ee8f4ca-8bb3-4760-a4a9-c2bcfd51f7b8","Faith Warren","2026-02-21 17:13:12.792040","Saturday",17,7,"Technical",0
"097a9788-e163-4c96-a5f9-1cfb51fd44e5","Kim Ferguson","2026-04-28 01:51:47.781769","Tuesday",1,4,"Service",0
"70295856-cd69-4207-91c4-4314735c15bb","Michael Miller","2026-01-13 15:24:08.069806","Tuesday",15,14,"Account",1
"4b2fa73e-136d-45cf-9a9b-75d5159cb10e","Jesse Perez","2026-05-06 19:12:41.993969","Wednesday",19,9,"Account",1
"ba0fe03e-7485-4a88-b003-53b56aa5c7b2","Stacy Henry","2026-01-20 00:31:26.304953","Tuesday",0,15,"Service",0
"df362751-17d9-4162-9e0a-771f073de533","Angela Shaw","2026-04-14 18:03:42.525344","Tuesday",18,10,"Account",1
"dab4f3dc-91a4-4942-b7d6-9e6e6ea2b1a8","Kevin Kelly","2026-01-03 06:11:26.477305","Saturday",6,9,"Account",0
"4f56457c-36e2-409f-9349-a32507dbdc96","Jennifer Wade","2026-05-01 19:15:03.082250","Friday",19,22,"Service",0
"e964630b-df09-4dd0-8dd5-19c4da6e8aa2","Robin Torres","2026-01-19 20:47:42.596185","Monday",20,17,"Technical",1
"ddd48bd0-3146-4b61-8540-b82022e8326f","Kristopher Wilson","2026-03-20 04:45:41.466974","Friday",4,13,"Billing",1
"eade1395-a699-4915-b488-4a0d92d4eef5","Courtney Castillo PhD","2026-04-07 18:23:05.754270","Tuesday",18,15,"Service",1
"d8e55339-db78-46f2-b0fe-5e001f20b6be","Joanna Callahan","2026-01-01 02:44:45.790123","Thursday",2,9,"Billing",0
"122be8b0-6567-4633-baf9-dede19440c77","Jamie Walsh","2026-01-22 08:22:00.629433","Thursday",8,2,"Service",1
"d57a7890-bc0e-4bcb-8ed1-70e20e552b9a","Jeremiah Best DVM","2026-03-21 17:07:32.792915","Saturday",17,14,"Technical",0
"02465156-93b1-4959-8700-dd09fe9024bf","Jessica Ferguson","2026-05-04 16:26:12.721568","Monday",16,26,"Account",1
"8137cdda-3e83-4b29-8826-36a95f62fd2d","Michael Barnett","2026-01-26 03:08:23.401253","Monday",3,14,"Service",0
"5e9b5735-3883-4d39-8833-e2bb078c8d9e","Kathleen Nelson","2026-03-12 20:54:57.296885","Thursday",20,5,"Account",0
"3bb4bb70-ffbf-44c8-a0de-7afd3552cc36","Anna Cochran","2026-02-14 14:01:34.138692","Saturday",14,39,"Technical",1
"78e6c145-fdd3-46bd-8e29-0995394cf49b","Joseph Cannon","2026-03-02 18:32:11.931917","Monday",18,18,"Technical",1
"c389e1e6-9cbf-4787-9b24-e630738878be","Cassandra Rose","2026-03-12 06:27:53.526986","Thursday",6,9,"Service",1
"dd1fb1f0-9a7d-4ae4-9fc7-5be706fdc791","Jennifer Richards","2026-04-15 20:23:52.725915","Wednesday",20,12,"Service",0
"c9962729-a38b-48f6-bb37-94785a893eb9","Matthew Garcia","2026-02-24 06:20:50.517147","Tuesday",6,8,"Service",0
"d99dc92a-4545-4b6c-b67c-894086f0d8d2","Robin Garcia","2026-03-06 09:11:12.306918","Friday",9,31,"Account",1
"4b162dc9-48b2-4f2a-9976-6d501359f0dd","Laura King","2026-02-12 15:18:53.283991","Thursday",15,24,"Technical",1
"99155d0e-2cf3-42e0-b711-af43be81d38c","Tamara Smith","2026-03-31 20:21:34.879561","Tuesday",20,5,"Service",1
"ffe80c13-0cce-47f4-a383-2078488326fe","David Byrd","2026-03-05 02:51:42.505794","Thursday",2,8,"Account",0
"8d28b5ee-6e2e-4826-8fe5-359167777f91","Ashley Lynch","2026-05-10 16:21:43.541763","Sunday",16,32,"Service",1
"f3c222c9-9903-4064-a830-66d1cc20dfe3","Brandon Callahan","2026-02-28 20:29:18.120201","Saturday",20,10,"Billing",0
"25afb9f5-03c3-46a2-a43d-6b75e9797afa","Amber Jones","2026-01-01 01:33:24.450576","Thursday",1,12,"Service",1
"5bee702d-60c6-4b53-9514-cd683c0f483c","Nicole Hickman","2026-04-16 13:33:05.143945","Thursday",13,33,"Technical",0
"7eb51be5-a3d4-437e-9f03-aebeb458c707","Kelly Mcdonald","2026-01-21 08:49:41.060291","Wednesday",8,14,"Account",0
"ae1bee0e-89f9-43bd-9db8-2a4fd7558738","Anna Wilson","2026-01-15 03:15:28.061512","Thursday",3,6,"Service",1
"9a4a1826-340c-453a-b307-613832d7844a","Michael Thompson","2026-01-22 06:50:01.227972","Thursday",6,13,"Billing",0
"ff1d0243-3453-4b53-b905-8a38a09c731c","Nicholas Jackson","2026-03-23 23:22:44.508796","Monday",23,18,"Service",1
"f647f40a-3683-4726-a6c2-2806a5edcf0c","David Buchanan","2026-01-10 23:57:18.452343","Saturday",23,9,"Technical",0
"63d331bb-a0d2-4e7c-bbbf-0b3fa52f8ae5","Terri Elliott","2026-04-06 12:37:55.530756","Monday",12,33,"Account",1
"6be5349c-a51f-4c60-a93f-194acede2860","Kenneth Garner","2026-04-09 13:05:43.327132","Thursday",13,18,"Technical",1
"bfc9e463-3c6a-4f18-937c-a0f7de20401c","Walter Lopez","2026-03-18 04:19:55.455183","Wednesday",4,8,"Account",0
"b70735e3-7630-4167-9261-ed872ee49b9e","Bailey Orozco","2026-03-21 14:06:51.977912","Saturday",14,44,"Account",1
"4475d6fc-f541-4603-b6ec-60efa24c9538","Christine Olson","2026-01-29 16:00:53.962906","Thursday",16,15,"Technical",1
"1a92f3da-6a62-4a1c-9ac7-739d7cbe21c2","Alexandra Smith","2026-03-26 00:11:42.461766","Thursday",0,10,"Account",0
"f855ad9d-11f5-4eed-a710-119bc031e8b1","Benjamin Turner","2026-03-07 06:29:52.147745","Saturday",6,5,"Service",0
"30538fc8-0047-4369-aeca-53d448c90338","David Taylor","2026-04-20 00:48:27.565044","Monday",0,22,"Billing",0
"b3dc7040-00ac-4992-9c90-4796166176f9","Jessica Rogers","2026-03-25 08:33:57.358699","Wednesday",8,7,"Service",1
"57e4dedc-f43e-4540-899f-329560f221e6","Corey Lowe","2026-02-28 12:45:03.991273","Saturday",12,40,"Billing",1
"000615a2-7adb-4414-a781-d49afbed4ca4","Kari Chen","2026-05-02 06:23:04.920696","Saturday",6,7,"Billing",0
"2415769f-ac0f-41fc-8218-f72821c8b10f","Sherry Carpenter","2026-03-20 19:17:17.828221","Friday",19,20,"Account",1
"8374e33e-56bd-4b36-ad25-3f9d928ec75d","Melissa Lara","2026-05-02 13:55:30.791200","Saturday",13,20,"Account",0
"4da4541e-8058-4c9a-bdaa-b950cdf69bfd","Rachel Brown","2026-01-10 12:03:52.777669","Saturday",12,11,"Account",1
"bf60dbb2-942d-4c85-94a6-b20da2c72f5e","Jonathan Ferguson","2026-01-30 11:47:03.256240","Friday",11,33,"Service",1
"49a90d2a-7d5e-4639-a07e-2ac120313934","Stephen Ramos","2026-01-29 15:15:10.914302","Thursday",15,10,"Technical",0
"f046ecc4-4239-45b6-9fb8-30c6015b52bd","Theresa Myers","2026-02-10 04:38:43.407490","Tuesday",4,10,"Technical",1
"f28d616c-56fb-4b67-8a4d-fa4f6c12573c","Alexander Martinez","2026-01-04 18:54:51.640965","Sunday",18,11,"Billing",0
"17a7b5fa-7b26-4f66-b523-ca7da7df2998","Amanda Ingram","2026-04-08 22:28:38.626920","Wednesday",22,15,"Service",0
"e3d52e89-9cc6-4672-bb4e-ef1efcddaa3b","Darrell Thompson","2026-01-30 11:50:54.846578","Friday",11,29,"Service",0
"3c4db380-d927-40a8-82c7-6e230f878f66","Manuel Tran","2026-02-11 00:39:41.493047","Wednesday",0,15,"Technical",1
"484356cf-1c79-4d13-b69c-7a556c3e51ce","Jason Hammond","2026-04-26 19:10:07.814107","Sunday",19,3,"Service",0
"eec99542-06e8-4c0b-bb33-4033434ea44c","Erika Green","2026-04-26 00:50:18.138086","Sunday",0,7,"Account",0
"f8e542fe-c07d-4b9e-b847-003e9d38cf00","Jacob Williams","2026-02-21 17:05:31.131288","Saturday",17,8,"Account",1
"696d65fb-c2cf-46ef-abdd-9900ca47c4e5","Michaela Smith","2026-01-28 12:21:13.113863","Wednesday",12,38,"Billing",1
"c2891d64-804e-4323-b4bd-7ddd0991ad4b","Tara Davidson","2026-01-29 20:58:03.982883","Thursday",20,13,"Billing",0
"4a7359aa-b331-4c5d-bcad-58240068fd66","Carol Jones","2026-05-07 08:28:23.341995","Thursday",8,9,"Technical",0
"5a5ba810-fa3b-4233-9bd6-833af57c4d63","Lee Riley","2026-02-05 04:18:40.414640","Thursday",4,3,"Service",0
"8ba932dc-5fd3-4447-99c4-eac4f66a0aa1","Robert Andrade","2026-03-22 08:29:32.583115","Sunday",8,14,"Billing",0
"46bd0cf0-a56a-41bd-acd6-579b8efdf111","Angela Alexander","2026-04-26 09:43:04.201961","Sunday",9,24,"Technical",1
"cd0c2e1e-fb2a-4c32-822a-44a4acd16eb4","Bethany Palmer","2026-01-01 22:37:06.924247","Thursday",22,13,"Billing",0
"42761f05-c731-4e45-82cd-68f9de28a833","David Vega","2026-02-17 02:21:29.203912","Tuesday",2,3,"Account",1
"9bbf81e0-5d7f-466a-86b1-6f24529e7584","Stephanie Stewart","2026-03-12 14:05:59.116694","Thursday",14,29,"Service",1
"d128fe68-94d1-45d7-855f-185cfa6a5c25","Holly Henderson","2026-05-09 04:06:15.529083","Saturday",4,4,"Account",1
"924cb59c-ec7e-4bd1-b04a-b12fcef91085","Arthur Nelson","2026-02-20 22:04:45.515334","Friday",22,27,"Service",0
"36a82270-678a-4b89-907a-75821cf380db","Jason Arnold","2026-04-12 06:28:58.183631","Sunday",6,8,"Account",1
"9734b0a6-e770-4d91-a0b3-13e807cbb512","Samuel Turner","2026-01-30 23:16:08.274434","Friday",23,22,"Technical",1
"e2b1a3e8-eeed-4533-89c9-4469501f70b9","Jose Alvarado","2026-03-11 20:28:55.421675","Wednesday",20,7,"Account",0
"3c5b6267-2997-47bf-93b6-88a402c5f42f","Sandra Smith","2026-02-26 00:33:22.235810","Thursday",0,3,"Technical",1
"dff157f8-65a0-4b1d-960d-7675eb23f6bc","Sheri Cannon","2026-01-30 05:30:44.395832","Friday",5,23,"Technical",1
"c4ead5e0-b8d4-4125-a974-1a1ac33bdeb3","Kimberly Davis","2026-05-13 12:42:06.029642","Wednesday",12,42,"Service",0
"06c29e85-d501-46d5-8a91-73b2defa91c2","Spencer Giles","2026-05-11 18:53:06.222273","Monday",18,21,"Technical",1
"5a5fc92b-9aa6-4e93-bf4c-f2b8f338b2ad","Desiree Adams","2026-04-03 03:29:22.161621","Friday",3,20,"Billing",0
"47678897-c377-4866-8b71-5416c6b0f426","Christopher Glenn","2026-03-16 09:48:57.082590","Monday",9,26,"Billing",1
"1ebd9e0e-9369-4f09-886e-0339f20db216","Leah Lewis","2026-04-25 10:03:18.304234","Saturday",10,44,"Service",1
"b3516c83-fcee-4c8b-98a3-8c5934eff789","Tracy Wagner","2026-01-30 10:24:34.994074","Friday",10,36,"Billing",0
"6acc9d7f-6641-41fd-9f17-7700a87ffa86","Michael Wilson","2026-03-16 11:33:50.391787","Monday",11,22,"Account",1
"9a54e75e-bcf3-4d2e-a17b-16e8ae3db34c","Andrea Walker","2026-04-11 05:56:55.975331","Saturday",5,5,"Billing",1
"3befba06-0ca7-49fb-ad59-86d90f1011ba","John Jensen","2026-05-08 14:40:04.264834","Friday",14,56,"Technical",1
"f080c177-3301-468e-b202-b62422806b7b","Jared Hines","2026-02-10 23:09:24.462038","Tuesday",23,6,"Billing",1
"6b7ded69-85c3-412a-9bd9-f39c02ec5bc4","Kathryn Mullins MD","2026-04-11 22:35:03.198522","Saturday",22,15,"Account",0
"9b82d172-3f4a-4d75-aa7f-aa9cd74232d2","Jose Rodgers","2026-04-28 05:32:00.503556","Tuesday",5,5,"Service",1
"eff58531-c503-4cab-9e4c-6769aa85d0ad","Randall Rangel","2026-03-10 05:36:55.661386","Tuesday",5,5,"Service",0
"586103bd-22da-4ab9-ae75-ccbacb3ad8fa","Brandon Moran","2026-03-05 18:21:06.333229","Thursday",18,5,"Account",1
"10ab9eff-40f9-47ae-b8a5-3cdc9c52a946","Lori Lara","2026-05-11 23:45:07.248815","Monday",23,11,"Technical",0
"32942a0e-2519-475f-984e-480536e2c90b","Cynthia Park","2026-02-13 00:39:18.905821","Friday",0,22,"Technical",0
"3c5b1639-3eca-4fa5-ac13-145bc10cc5fe","Audrey Robinson","2026-03-17 04:06:57.921160","Tuesday",4,6,"Billing",0
"cc00488a-4b0f-49bb-b5bb-e4ca06ef4bf5","Amber Griffin","2026-04-18 17:20:43.037464","Saturday",17,5,"Account",1
"89c99bb2-f676-4382-aad1-8e5ec1cbf9b2","Dominique Rice","2026-05-12 04:05:13.824083","Tuesday",4,11,"Technical",0
"811d56c5-e0d4-44b9-b0bf-84c2f35e6ce3","Kristina Manning","2026-02-12 18:46:20.821164","Thursday",18,11,"Technical",1
"9c3489e5-5021-4f2e-a4e3-a6438f539f7a","James Tucker","2026-03-25 17:41:34.266580","Wednesday",17,11,"Billing",0
"6f41de59-41d0-4602-a235-b79fe9193c61","Justin Beard","2026-04-22 04:29:04.518095","Wednesday",4,5,"Technical",0
"5aa6fe4d-dad7-438b-9cc7-70b73284d7fe","Lisa Daugherty","2026-01-30 05:04:46.812021","Friday",5,21,"Account",0
"ece8c74b-2e4e-4821-bcf9-541fa1d16a98","Bobby Elliott","2026-02-24 05:00:42.001360","Tuesday",5,14,"Technical",0
